userid,itemid,weekday,domain,sales_chart,sales_rank,brand,price,user_pos_1month_seq,user_neg_1month_seq,user_pos_2month_seq,user_neg_2month_seq,user_pos_6month_seq,user_neg_6month_seq,label,timestamp
2422101,889483,2,1,34,9,11626,3,"[507662, 819136]",[],"[507662, 819136]",[],"[606524, 703242, 507662, 819136]",[],1,1524009600
1655867,1137891,5,1,34,9,11626,3,[],[],[],[],[],[],0,1505520000
1775216,360450,4,1,34,9,16594,4,[],[],[],[],[],[],1,1510272000
2901986,287988,2,1,27,5,11626,3,[],[],[],[],[],[],1,1515542400
1115524,1307636,2,1,34,9,8811,4,"[703513, 133035]",[378657],"[703513, 133035]",[378657],"[321961, 927653, 963914, 1345487, 1096185, 960348, 1345487, 167944, 1357543, 355048, 355048, 461483, 102483, 501516, 329578, 506129, 703513, 133035]","[1079929, 378657]",1,1524009600
2035881,313015,5,1,34,9,13056,3,"[176051, 1270387, 49984, 102327]",[],"[176051, 1270387, 49984, 102327]",[],"[176051, 1270387, 49984, 102327]",[],1,1503100800
1290620,958486,0,1,34,9,13154,3,[],[],[],"[691948, 834550]",[],"[691948, 834550]",0,1518998400
42113,1158230,3,1,34,9,11626,4,[],[121969],[],[121969],[],[121969],0,1516838400
1950294,938449,0,1,34,9,11626,3,"[1173066, 1305738, 298852, 462256, 339906]","[1159991, 367657, 367657, 1248220, 1299712]","[1173066, 1305738, 298852, 462256, 339906]","[1159991, 367657, 367657, 1248220, 1299712]","[346946, 11321, 11321, 1173066, 1305738, 298852, 462256, 339906]","[644758, 1159991, 367657, 367657, 1248220, 1299712]",0,1514764800
28266,337292,5,1,35,4,20997,3,[],[],[],[],[],[],0,1504915200
322513,360948,0,1,34,9,14080,3,[],[],"[394853, 512095]",[],"[1210227, 281000, 1265889, 859555, 474791, 1153442, 495895, 394853, 512095]",[457106],1,1526860800
2744229,419801,4,1,34,9,3749,3,[],[],[],[],[],[],0,1507852800
52113,749045,5,1,34,9,2430,3,[],[],[],[],[147052],[],1,1523059200
2173905,745508,4,1,34,9,8332,3,[],[],[],[],[],[],1,1524787200
506486,822213,1,1,34,9,5938,4,[],[],[],[],[],[],0,1529971200
2851976,1305666,0,1,34,9,14206,4,"[740733, 391340]",[],"[740733, 391340]",[],"[740733, 391340]",[],1,1521417600
2562583,844853,6,1,14,9,22200,3,"[1032523, 759877, 673664, 1179762, 375991, 283927, 354531, 354531, 525066]","[992872, 1168645, 642250, 1345140]","[1032523, 759877, 673664, 1179762, 375991, 283927, 354531, 354531, 525066]","[992872, 1168645, 642250, 1345140]","[1032523, 759877, 673664, 1179762, 375991, 283927, 354531, 354531, 525066]","[992872, 1168645, 642250, 1345140]",1,1512259200
303692,352642,6,1,34,9,6013,3,"[661043, 953908, 557731]",[],"[661043, 953908, 557731]",[],"[698656, 661043, 953908, 557731]",[],0,1521936000
781160,410837,6,1,34,9,13576,3,[],[],[],[],"[1009879, 411030, 360039, 281452, 1155749, 360039, 745928, 897447, 1234735, 1366013, 668488, 865042]","[989122, 1195128, 337133, 545644, 1218773]",1,1523750400
702029,687771,4,1,34,9,5704,3,[],[],[],[],[918055],"[831179, 739858]",1,1515715200
380506,320979,0,1,34,9,742,3,[],[],[],[837354],[],[837354],0,1509321600
2229171,1315147,0,1,34,9,5686,3,"[825166, 313124, 449514, 782639, 463250, 66122, 810622, 810624, 799144]",[1240310],"[825166, 313124, 449514, 782639, 463250, 66122, 810622, 810624, 799144]",[1240310],"[825166, 313124, 449514, 782639, 463250, 66122, 810622, 810624, 799144]",[1240310],1,1522627200
61302,856263,1,1,34,9,11626,3,[],[],[],[],[1145258],[],1,1512432000
2638360,568738,1,1,34,9,8380,5,[394887],[],[394887],[],[394887],[],1,1517270400
423591,965668,3,1,34,9,13370,3,[],[],[],[],[],[],0,1505952000
1754056,616640,1,1,14,8,11626,3,[],[],[],[],[],[],0,1529971200
651327,1309509,0,1,34,9,11626,1,[],[],[],[],[],[],0,1514764800
1928287,527375,0,1,34,9,9148,3,[724235],[1123475],[724235],[1123475],[724235],[1123475],0,1516579200
2133012,326167,4,1,34,9,1144,6,[],[],[],[],[],[],1,1503014400
2546287,546893,0,1,34,9,1152,4,[965104],[],[965104],[],[965104],[],1,1506297600
1711589,387973,0,1,34,9,11626,4,[],[],[],[],[],[],0,1522627200
2530823,419335,2,2,34,9,21348,6,[],[],[],[],"[474093, 895090, 1013270]",[],1,1516147200
2718197,778339,4,2,34,9,9010,0,[],[],[],[],[],[],1,1510272000
2237991,342101,0,2,34,9,11059,4,[],[],[],[],[],[],1,1517184000
2711140,289293,4,2,34,9,7441,6,[],[],[],[],[],[],0,1520553600
1609178,1051686,3,2,34,9,14282,5,[],[],[],[887120],[],[887120],0,1508371200
551869,530188,6,2,34,9,59,7,[],[],[],[],[],[],0,1511049600
177105,1290948,2,2,34,9,11626,1,[],[],[],[],[],[],0,1512518400
1416384,1225993,2,2,34,9,11626,5,[],[],[],[],[],[],0,1525219200
1456267,807213,5,2,34,9,8251,4,[],[],[],[],[],"[492743, 589485]",0,1514592000
2333468,754447,1,2,34,9,21002,7,[],[],[],[],[],"[1362063, 517619, 761091, 719759]",0,1510012800
1886571,775641,5,2,34,9,11626,6,[],[],[],[],[],[],1,1503100800
2078684,522064,5,2,34,9,10663,4,[],[],[],[],[],"[1074080, 819885]",0,1523664000
2875031,447019,4,2,34,9,4794,4,[],[],[],[],"[308215, 1309356, 345619, 868336, 1156430]","[1305476, 736588]",0,1529020800
786371,1311616,4,2,39,6,15860,4,[],[],[],[],[],[],0,1522368000
255600,1125735,3,2,34,9,12158,4,[],[],[],[],[],[],0,1508976000
2615031,495273,4,2,34,9,16747,4,[],[],[],[],[],[1006576],0,1528416000
420236,452996,4,2,34,9,164,6,[778374],[],[778374],[],[778374],[],0,1513296000
2783194,387800,6,2,34,9,3895,0,[],[],[],[],[],"[362668, 362668]",0,1516492800
861214,304383,0,2,34,9,2281,3,[],[],"[667713, 977200]","[1015141, 763670]","[667713, 977200]","[1015141, 763670]",1,1525651200
2446529,1043030,4,2,34,9,8915,6,[],[],[],[],[],"[466400, 1066341]",0,1520553600
2643011,911824,3,2,34,9,3193,3,[],[],"[486013, 351684, 351684, 1024571, 695779, 671002, 559770]",[378478],"[486013, 351684, 351684, 1024571, 695779, 671002, 559770]",[378478],1,1516233600
1057993,710592,3,2,34,9,11626,4,[],[],[],[],[],[],0,1518048000
1396507,588956,2,2,34,9,11626,6,[],[],[],[],[],[],1,1512518400
688411,352204,5,2,34,9,20932,6,[],[],[],[],[],[],0,1504915200
1024840,611670,6,2,34,9,11268,4,[],[],"[635886, 984445, 1174435, 1033971, 1309108]",[308981],"[635886, 984445, 1174435, 1033971, 1309108]",[308981],1,1528588800
1084741,642640,1,2,34,9,1441,5,[],[],[],[],"[831531, 1183653]",[551403],0,1516060800
1706208,1055916,4,2,34,9,9074,4,[],[],[],[],"[528025, 861511]","[846670, 1225707]",0,1531440000
1708961,402830,2,2,34,9,5618,4,[],[],[],[],[],[],1,1507075200
1672088,1032407,3,2,34,9,600,5,[],"[1353900, 970438]",[],"[1353900, 970438]",[],"[1353900, 970438]",1,1512604800
1818513,313302,5,2,34,9,11626,4,[],[],[],[],[],[],1,1511568000
2316751,1311287,1,2,34,9,2681,3,[],[],[],[],[],[],0,1524528000
733873,356359,2,2,34,9,6135,4,[],[],[],[],[],[],1,1510099200
2831672,464872,2,2,34,9,3332,4,[],[],[],[],[],[],1,1506470400
1234474,447090,6,2,34,9,6373,3,[],[],[],[],[],[],0,1519516800
1307383,890429,0,2,34,9,21315,4,[],[],[],[],[],[],0,1525651200
2201572,369460,0,2,34,9,7507,6,[],[],[],[],[],[],1,1526256000
2445175,452673,4,2,34,9,11626,5,[271397],[1241274],"[497612, 879154, 491940, 600885, 351989, 351989, 1241275, 271397]","[271623, 1241274]","[497612, 879154, 491940, 600885, 351989, 351989, 1241275, 271397]","[271623, 1241274]",0,1524182400
1412038,283741,5,2,34,9,8714,3,[],[],[],[],[],[],0,1507939200
1859140,1249985,1,2,34,9,3193,3,[],[443116],[302350],"[560083, 443116]",[302350],"[560083, 443116]",1,1528156800
2161112,910274,2,2,34,9,3028,5,[],[],[],[],[],[],1,1519776000
573886,1264003,6,2,34,9,4437,5,[],[],[],[],[328847],[1078264],1,1519516800
2562778,955999,4,2,34,9,14458,3,[],[],[],[],[],[],0,1509667200
1767191,296371,5,2,34,9,10663,4,[],[],[],[],[],[],0,1521244800
134758,870289,6,2,34,9,11626,4,[],[],[],[],[],[],1,1515283200
805288,565006,2,2,34,9,1292,5,[],[],[],[],[],[],0,1502841600
344046,1315517,6,2,34,9,11626,4,[],[],[],[],[],[],1,1512864000
1607101,308843,0,2,34,9,10850,3,[],[],[],[],[],[],1,1511740800
2546936,724055,6,2,34,9,11626,7,[],[],[],[],[],"[625626, 1077670, 558489, 376380, 644189, 324591, 1022973, 703811]",0,1518912000
201102,356371,2,2,34,9,6135,4,[],[],[],[],[],[],1,1510704000
2655582,456173,4,2,34,9,4646,5,[116610],[],[116610],[],[116610],[],0,1516924800
1077857,963451,0,2,34,9,4907,4,"[928453, 505945]","[591188, 1153473, 943346, 933820, 1104236]","[928453, 505945]","[591188, 1153473, 943346, 933820, 1104236]","[431883, 814049, 439126, 1148537, 922141, 387067, 822143, 602508, 602510, 371441, 824313, 1180258, 395522, 470993, 356849, 928453, 505945]","[523484, 275228, 1075813, 591188, 1153473, 943346, 933820, 1104236]",1,1528675200
2686939,676650,1,2,34,9,5281,4,[],[],[],[],[],[],1,1506384000
596258,711113,0,2,34,9,4646,4,[],[],[],[],[],[],1,1509321600
1232207,1058736,6,2,27,8,7181,4,[],[],[],[],"[304942, 304964]","[1114702, 1122178]",1,1512864000
530683,1230526,0,2,34,9,6079,5,[],[],[],[],[],[],0,1521417600
1450671,1299483,3,2,34,9,11651,4,[],[],"[1222506, 931155, 462199]",[],"[1053797, 982016, 1222506, 931155, 462199]",[],0,1509580800
498115,654374,2,2,34,9,3193,5,[],[],[],[],[],[],1,1509494400
2408292,1110362,6,2,34,9,9431,3,[],[],[],[],[],[],0,1525564800
2347442,453207,5,2,34,9,164,4,[],[],[],[1237991],[640685],[1237991],0,1523664000
917860,759240,3,2,34,9,1286,4,[],[],[702236],"[421128, 472424]",[702236],"[421128, 472424]",1,1512604800
1801248,1286942,0,2,34,9,7217,3,[],[],[],[],[],[],0,1531699200
1152864,312829,1,2,34,9,6135,3,[],[],[],[],[],[],1,1506384000
1919917,331012,2,2,34,9,6523,5,[],[],[],[],[],[],0,1510704000
2417880,277148,3,2,4,5,2827,4,[1164269],[],"[82608, 1164269]",[],"[85131, 82608, 1164269]",[],0,1524096000
2595257,652708,2,2,34,9,11626,4,[],[],[],[],[],[],0,1518566400
2027203,1063589,1,2,34,9,21413,4,[],[],[],[],[],[],0,1505779200
1876291,690983,3,2,34,9,4485,5,"[348052, 431589, 1195025]","[398119, 1279283]","[1303200, 348052, 431589, 1195025]","[398119, 1279283]","[1303200, 348052, 431589, 1195025]","[398119, 1279283]",1,1518048000
1984118,808703,1,2,34,9,14822,4,[],[],[],[],[],[926976],0,1531180800
2573895,1049392,5,2,34,9,10096,7,[780676],[],[780676],[],[780676],[],1,1505520000
380204,1080670,5,2,34,9,11067,4,[],[],[],[],[],[],1,1512172800
1867150,389127,3,2,4,7,6007,7,[],[],[],"[216959, 40364, 22191, 30254, 30253, 271714, 80776, 1518, 136215, 136424, 70652, 70557, 70841, 134265, 134266, 223469, 227459, 223426, 223471, 223442, 36662, 36661, 129316, 441110, 396809, 278334]",[],"[278253, 25158, 216959, 40364, 22191, 30254, 30253, 271714, 80776, 1518, 136215, 136424, 70652, 70557, 70841, 134265, 134266, 223469, 227459, 223426, 223471, 223442, 36662, 36661, 129316, 441110, 396809, 278334]",0,1524096000
1042880,306914,6,2,34,9,11626,4,[],[],[],[],[],[],1,1503187200
1712174,1179966,4,2,34,9,11626,5,[],"[920209, 561351, 753883, 957451]",[],"[920209, 561351, 753883, 957451]",[],"[920209, 561351, 753883, 957451]",1,1506038400
1255988,1123672,4,2,34,9,11626,3,[],[1036955],[],[1036955],[],[1036955],0,1508457600
2480789,318984,2,2,34,9,4663,3,[],[1034748],[],[1034748],[],[1034748],1,1504051200
649622,509972,6,2,34,9,11626,4,[],[],[],[],[],[],0,1506211200
1156877,736926,0,2,34,9,3028,4,[],[],[],[],[],[],1,1503273600
2268911,472526,0,2,34,9,6987,5,[],[],[],"[387561, 463834]",[],"[387561, 463834]",0,1520208000
1049063,1002433,1,2,34,9,1286,5,[],[],[],[],[],[],0,1520294400
1708215,824229,2,2,34,9,586,5,[],[],[],[],[],[],1,1526428800
191800,377995,6,2,34,9,2281,5,[],[940706],[],[940706],[],[940706],0,1506816000
1689275,476881,5,2,34,9,4407,5,[],[],[],[],[],[1081073],0,1527292800
806452,369460,2,2,34,9,7507,6,[],[],[],[],[],[],1,1504051200
1582901,486229,6,2,34,9,10663,4,[],[],[],[],[],[],0,1526774400
704528,1327369,0,2,34,9,11626,0,[],[],[],[990850],[],"[1161351, 990850]",0,1520812800
665603,322354,2,2,34,9,16551,3,[],[],[],[],[],[],1,1515542400
1294041,442422,5,2,34,9,3193,5,[],[],[],[],[],[],1,1521244800
339598,287289,0,2,34,9,7092,5,[],[],[],[],[],[1364950],0,1523836800
1343496,1062593,6,2,34,9,686,3,"[908408, 455982, 455981, 343070]",[],"[908408, 455982, 455981, 343070]",[],"[908408, 455982, 455981, 343070]",[],1,1521936000
715753,1190761,5,2,34,9,371,5,[],[],[],[],[],[],0,1507939200
2860096,887729,1,2,34,9,10584,4,[],[],[],[],[],"[886399, 1334915, 611261]",0,1530576000
2768479,704185,0,2,34,9,1286,3,[],[],[],[],[],[],1,1529280000
434174,743005,4,2,34,9,16797,5,[],[],[],[],[],[],1,1512691200
2504568,974818,4,2,34,9,21376,4,[],[],[],[],[],[],1,1504828800
1978056,1015547,6,2,34,9,10577,4,[],[],[],[816432],[],[816432],0,1508025600
1862179,1249594,4,2,34,9,11626,4,[],[],[1335843],[],[1335843],[],0,1522368000
2480307,310669,4,2,34,9,9188,3,"[1201594, 340884, 300503, 833544, 754338, 754339, 523703, 1077903, 698447, 790387]",[],"[1201594, 340884, 300503, 833544, 754338, 754339, 523703, 1077903, 698447, 790387]",[],"[873411, 1201594, 340884, 300503, 833544, 754338, 754339, 523703, 1077903, 698447, 790387]",[],0,1520553600
197529,311432,4,2,34,9,2854,3,[],[],[],[],[],"[384900, 131291, 531922]",0,1524787200
412718,670923,2,2,34,9,3622,4,[],[],[],[],[],[],0,1504656000
393449,650016,1,2,34,9,15487,3,[],[],[],"[694414, 656964, 606754, 535635, 311790, 900429, 290997, 1127934, 297023, 679500, 812398, 865747, 1075322, 559302, 916145, 556644, 948441, 302501, 525780, 945688, 945689, 1273780, 337604, 864253, 425932, 992758, 522650]",[],"[1271319, 664478, 870085, 694414, 656964, 606754, 535635, 311790, 900429, 290997, 1127934, 297023, 679500, 812398, 865747, 1075322, 559302, 916145, 556644, 948441, 302501, 525780, 945688, 945689, 1273780, 337604, 864253, 425932, 992758, 522650]",0,1522713600
353765,957881,5,2,34,9,10152,5,[],[],[],[],[],[],1,1533945600
633676,598729,1,2,34,9,16710,6,[],[],[],[],[],[],0,1523318400
1743272,670685,2,2,34,9,10706,5,[],[],[],[],[],[],1,1523404800
2301924,1046369,0,2,34,9,21309,4,[],[],"[308400, 1063622]",[557053],"[308400, 1063622]",[557053],0,1524441600
1435117,330979,3,2,34,9,2732,3,[],[],[],[],[],[],1,1522281600
1051969,548243,0,2,34,9,382,5,[],[],[],[],[],[943333],0,1521417600
2669327,1168158,4,2,24,7,11626,4,[],[],[],[],[86622],[],1,1514505600
661205,821004,1,2,34,9,7340,5,[],"[917841, 1088727, 1200060]",[],"[1001027, 917841, 1088727, 1200060]",[],"[1001027, 917841, 1088727, 1200060]",0,1513036800
1430872,609689,3,2,34,9,4799,5,[],[],[],[],[],[],1,1507161600
39530,454471,2,2,34,9,4646,4,[1146548],[],"[708856, 1146548]",[],"[708856, 1146548]",[],1,1506470400
1641811,815876,6,2,34,9,11626,3,[],[],[],[],[],[493483],1,1533427200
533089,536878,2,2,34,9,11626,6,[],[],[],[],"[1036309, 1209070]",[],0,1522195200
1548919,1222486,6,2,34,9,1292,5,[],[],[],[],[],[1250267],0,1521331200
2139860,720434,2,2,34,9,14916,3,[],[],[],[],[],[],1,1528848000
374083,583909,5,2,34,9,3193,5,[],[],[],[],[],"[1223141, 658257, 557868, 557868, 558822, 501670, 453624, 318963, 335574, 521137, 319636, 292450, 292450, 943686, 514628, 298160, 374921]",0,1529107200
921351,529007,5,2,34,9,9622,1,[],[],[],[],[],"[421789, 457575, 334004, 526406, 340194, 79919, 283142]",0,1523664000
885733,1362106,2,2,34,9,11626,6,[],[],[],[],[],[992413],1,1529452800
271738,1205983,2,2,34,9,11626,4,[1233267],[],[1233267],[],[1233267],[],0,1533686400
2729215,421789,3,2,34,9,2854,4,[],[],[],[],[],[],0,1528329600
2364491,289498,0,2,34,9,12700,4,[],[],[],[],[],[990505],0,1515369600
2692710,390965,3,2,34,9,15495,4,[],[],[],[958678],[],"[1176488, 958678]",0,1508976000
1438918,1184478,0,2,34,9,11626,5,[],"[312649, 1037822, 1295122, 1275528, 526571]",[],"[312649, 1037822, 1295122, 1275528, 526571]",[],"[312649, 1037822, 1295122, 1275528, 526571]",0,1519603200
2456188,296402,6,2,34,9,6135,4,[],[],[],[],[],"[492085, 1122540, 1011598, 693772]",0,1523145600
1064670,969155,2,2,34,9,22317,3,[],[],[],[],[664272],[],1,1521590400
1650479,367235,1,2,34,9,4100,7,[],[],[],[],[],"[634137, 424772, 453896]",0,1526947200
264152,1355736,2,2,34,9,5618,4,[],[],[],[],[],[],0,1510704000
485052,889796,6,2,34,9,15575,3,[],[],[],[],[],[],0,1507420800
2584927,1275175,2,2,34,9,11626,5,[],[],[],[],[],[],0,1511913600
1932277,778314,3,2,34,9,9010,0,[],[],[],[],[],[],0,1507766400
1600844,883032,3,2,34,9,152,4,[549247],[],"[630790, 1309625, 549247]",[345283],"[537540, 630790, 1309625, 549247]",[345283],1,1528934400
2585588,687036,1,2,34,9,6373,3,[],[],[],[],[],[],0,1502755200
2386073,7858,3,3,8,9,11626,4,[],[],[],[],"[980650, 40945]","[67028, 269851, 316150]",0,1521072000
2835280,175481,5,3,8,2,11626,4,[],[],[],[206386],[],[206386],1,1524268800
2543610,143380,4,3,8,9,11626,4,[1356648],[],[1356648],[],[1356648],[],1,1507852800
2698617,377948,0,3,8,2,18674,5,[],[31956],[],[31956],[],[31956],1,1526256000
828556,14364,1,3,8,2,19315,4,[],[],[],[],[],[],0,1521504000
2186447,105693,2,3,8,2,11626,4,"[58595, 138997]",[],"[46469, 58595, 138997]",[],"[178646, 46469, 58595, 138997]",[],0,1522800000
2432646,86355,3,3,8,10,11626,3,[],[],[],[],"[30410, 54532]",[],0,1510790400
2130141,111046,3,3,8,10,17770,4,[],[],[],[],[],[],0,1513814400
2032256,11979,1,3,8,2,18259,3,[],[],[],[890621],[],"[1064592, 890621]",0,1517270400
2408081,233194,4,3,8,2,11626,4,[],"[220963, 239279]",[],"[235414, 220963, 239279]",[],"[235414, 220963, 239279]",0,1506038400
226818,248659,3,3,8,10,19654,5,[],[],[],[],[],[],1,1510790400
1711007,25877,4,3,8,2,17817,5,[955575],[235458],"[167033, 955575]","[227074, 235458]","[167033, 955575]","[227074, 235458]",1,1507852800
1206029,187319,0,3,8,2,17772,3,"[57171, 249604, 225950]",[250454],"[855695, 57171, 249604, 225950]","[246998, 238637, 250454]","[855695, 57171, 249604, 225950]","[244608, 171751, 160305, 1279575, 173180, 1177761, 246998, 238637, 250454]",0,1513555200
1662717,51858,5,3,8,10,11626,4,[],[],[],[178570],[],[178570],1,1515196800
1018531,70088,0,3,8,2,20403,5,[],[],[],[504227],[],[504227],0,1509321600
36277,156365,4,3,8,10,11626,4,[],[],[],[],[],[922333],1,1522972800
1282396,173657,6,3,8,2,20544,4,"[57926, 62355, 1124137, 110476, 124953, 247275, 249865, 158996, 142760, 251352, 142234, 235178, 146423, 249046]","[898166, 156442, 177193, 246998, 247345, 249453, 165207, 184608, 251104]","[249786, 824730, 971993, 1241959, 173536, 176763, 248927, 249299, 185798, 245788, 249714, 238588, 245205, 965598, 227337, 203314, 203316, 108217, 57926, 62355, 1124137, 110476, 124953, 247275, 249865, 158996, 142760, 251352, 142234, 235178, 146423, 249046]","[238585, 180033, 142468, 715467, 898166, 156442, 177193, 246998, 247345, 249453, 165207, 184608, 251104]","[172123, 154860, 161941, 186695, 1322970, 142166, 152265, 235177, 106599, 174283, 142770, 142502, 217152, 244469, 158655, 1131778, 1020930, 186677, 217150, 1159876, 1074105, 164706, 1357591, 106148, 256552, 112604, 104187, 102865, 148378, 248054, 160157, 1057532, 152161, 228274, 155604, 178626, 163326, 173222, 239752, 161636, 176265, 175646, 156457, 178726, 112673, 244903, 180392, 172493, 121561, 227344, 187667, 249178, 233361, 239967, 249786, 824730, 971993, 1241959, 173536, 176763, 248927, 249299, 185798, 245788, 249714, 238588, 245205, 965598, 227337, 203314, 203316, 108217, 57926, 62355, 1124137, 110476, 124953, 247275, 249865, 158996, 142760, 251352, 142234, 235178, 146423, 249046]","[1228381, 182499, 243467, 178280, 181672, 216199, 169637, 239754, 246911, 147117, 644640, 55878, 149404, 228273, 238585, 180033, 142468, 715467, 898166, 156442, 177193, 246998, 247345, 249453, 165207, 184608, 251104]",0,1515888000
715613,240177,2,3,8,8,11626,4,[],[],[23562],[],[23562],[],0,1507075200
2497908,144900,5,3,8,8,11626,4,[],[],[],[],[],[],0,1522454400
1869135,173870,2,3,8,2,11626,4,[792022],[],[792022],[],[792022],[],0,1504656000
1176922,178586,6,3,8,6,11626,4,[],[],[],[],[419703],[78015],1,1516492800
2581353,24002,3,3,8,9,11626,4,[],[],[],[],[],[],1,1518652800
203446,163166,2,3,8,2,20575,4,"[163085, 160485, 31002]","[184810, 234841, 1213167, 841668, 166274, 1354824, 1329981, 162929, 162679]","[163085, 160485, 31002]","[184810, 234841, 1213167, 841668, 166274, 1354824, 1329981, 162929, 162679]","[163085, 160485, 31002]","[184810, 234841, 1213167, 841668, 166274, 1354824, 1329981, 162929, 162679]",0,1504656000
587217,127367,6,3,8,9,20524,3,[],[],[],[],[],[],0,1504396800
2040874,134647,5,3,8,9,11626,4,[],[],[],[],"[760713, 615361]",[],0,1515801600
193679,9539,1,3,8,8,11626,4,"[368835, 368835]",[],"[350803, 258817, 118948, 350803, 348342, 260660, 271253, 261087, 22711, 293952, 281223, 260738, 45629, 45630, 351989, 259270, 259722, 308497, 390349, 351989, 368835, 368835]",[],"[350803, 258817, 118948, 350803, 348342, 260660, 271253, 261087, 22711, 293952, 281223, 260738, 45629, 45630, 351989, 259270, 259722, 308497, 390349, 351989, 368835, 368835]",[],1,1523923200
818435,118948,1,3,8,6,11626,4,[],[],[],[],[],[],1,1521504000
