click,purchase,userid,121,122,124,125,126,127,128,129,itemid,domain,207,210,216,508,509,702,853,301,109_14,110_14,127_14,150_14,D109_14,D110_14,D127_14,D150_14,D508,D509,D702,D853,train_tag
0,0,69941,0,0,0,0,0,0,0,0,35435,3,191910,527,81901,64,83496,43186,0,3,53,4719,340,44,1,1,1,0,3,1,1,0,2
0,0,167311,48,4,1,3,1,1,1,2,35411,11,252469,21923,102797,318,0,0,7037,3,913,256,173,702,1,0,1,2,3,0,0,1,0
1,0,155509,0,0,0,0,0,0,0,0,35233,0,211024,706,70090,117,0,0,417,3,55,4416,2543,39,0,0,1,3,5,0,0,4,0
0,0,202559,1,8,1,5,0,1,2,2,35231,4,5288,2540,0,21,1021,0,25,1,53,4719,1485,176,0,0,1,0,2,3,0,1,1
0,0,94205,1,2,2,2,0,3,1,0,35166,20,18744,2331,10524,1928,0,0,0,3,294,80689,7794,6,2,2,1,1,0,0,0,0,0
0,0,82398,1,1,1,1,0,1,1,2,35092,0,700,706,51,117,0,0,148,1,20,38118,6980,121,1,2,1,1,0,0,0,0,0
0,0,23703,1,5,1,2,0,1,1,0,35075,2,21090,97,76,23,0,23,1018,3,59,2893,218,4438,0,1,1,0,6,0,5,6,0
0,0,16547,18,8,1,5,1,1,2,3,35004,0,7141,706,0,117,1249,0,142,3,327,78606,1130,117,1,0,1,5,5,0,0,3,0
0,0,95524,1,12,2,3,0,3,1,0,34992,3,54931,527,27695,64,108628,8650,0,1,529,0,2911,522,4,0,1,0,3,1,1,0,1
0,0,0,1,8,1,5,0,1,1,3,34979,1,250503,235,0,12,0,0,0,3,166,11192,2472,38,1,1,1,2,0,0,0,0,1
0,0,138203,41,3,2,1,3,1,1,1,34907,7,14787,10392,0,924,0,0,3303,3,38,39683,1094,785,0,1,1,3,1,0,0,1,2
0,0,49981,1,3,2,1,0,1,1,1,34901,22,250112,3283,102054,504,0,0,9106,1,67,19840,3057,234,0,0,1,3,2,0,0,2,1
0,0,0,11,6,1,4,1,1,1,2,34844,2,69343,3286,53,23,0,17,185,3,4,83,42,24,0,2,1,0,2,0,2,2,2
0,0,40841,21,3,2,1,1,1,1,4,34721,1,57479,24203,57690,12,13850,22498,54,3,20,8617,1097,38,1,1,1,2,4,2,2,4,2
0,0,0,1,8,1,5,0,1,1,2,34673,0,2685,29812,523,117,505,151,142,3,70,12874,2675,71,0,1,1,1,5,3,3,2,2
0,0,80542,22,8,1,5,3,1,1,2,34615,1,46755,297,0,12,41969,0,269,1,21,2018,1831,39,2,3,1,3,2,0,0,1,0
0,0,180188,0,0,0,0,0,0,0,0,34352,1,234852,317,21402,0,0,0,0,3,122,65417,19465,264,1,1,1,1,0,0,0,0,0
0,0,119216,70,3,2,1,2,1,1,1,34300,12,86597,7955,30879,0,0,0,0,1,67,7623,208,912,1,1,1,0,0,0,0,0,1
0,0,178643,1,7,2,4,0,1,2,1,34196,0,4292,3330,0,117,787,0,2648,1,30,253,2032,6619,3,0,1,1,2,4,0,2,0
0,0,143548,0,0,0,0,0,0,0,0,34180,29,14336,14339,45367,1657,0,0,8653,1,398,1964,764,9129,1,0,1,1,1,0,0,0,0
0,0,74574,58,2,2,2,1,1,1,3,34144,4,66749,4273,64,21,0,81,0,3,237,162,2243,94,0,1,1,3,2,0,1,0,2
0,0,0,69,2,2,2,1,2,1,1,34105,19,200433,20853,9878,0,107538,17242,0,3,2561,4739,1448,386,3,0,2,0,0,0,0,0,2
0,0,157912,0,0,0,0,0,0,0,0,34098,0,11811,689,0,117,0,0,556,3,94,31333,32433,1,6,4,2,1,6,0,0,0,0
0,0,0,1,6,1,4,0,1,1,2,34084,2,18742,8042,8449,23,5750,2243,4282,2,807,0,290,2,3,1,2,1,4,5,4,1,2
0,0,161660,22,8,1,5,3,1,1,2,34064,1,37991,293,0,12,8399,0,49,1,53,2706,428,879,2,0,1,1,3,3,0,0,0
0,0,0,1,8,1,5,0,1,2,1,34061,0,32005,1530,0,0,0,0,0,1,528,295,161,271,0,0,1,0,0,0,0,0,2
0,0,210873,1,1,1,1,0,3,1,0,34025,2,45785,9599,0,23,10510,0,263,3,93,609,7926,101,3,2,2,2,4,2,0,2,0
0,0,129310,1,5,1,2,0,1,1,2,33928,25,97752,15425,4442,756,0,5680,0,3,20,791,82,1440,0,1,1,4,1,0,1,0,0
0,0,155603,0,0,0,0,0,0,0,0,33822,1,197614,60,18878,12,0,0,0,3,38,253,3853,2374,2,3,1,1,1,0,0,0,2
0,0,0,1,8,1,5,0,2,1,0,33786,0,25411,1589,0,0,0,0,0,3,0,0,0,229,0,0,0,0,0,0,0,0,1
0,0,63380,1,6,1,4,0,1,1,0,33729,1,22757,60,187,12,0,47,54,3,37,5919,1753,969,1,0,1,2,3,0,1,2,0
0,0,186055,1,6,1,4,0,1,1,1,33685,0,15686,990,8917,117,28771,17373,795,3,37,1949,51,2535,1,0,1,2,4,1,2,3,0
0,0,43909,22,8,1,5,1,1,1,2,33666,5,8759,1499,0,25,0,0,0,3,85,3816,897,39,0,4,1,4,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,33507,2,32796,1969,565,23,0,169,0,3,21,13749,55,38,3,0,1,5,1,0,0,0,1
0,0,169450,22,8,1,5,3,1,1,2,33434,0,63290,12745,13637,117,15680,10175,0,3,405,31,82,891,5,4,1,6,4,2,2,0,1
0,0,0,0,0,0,0,0,0,0,0,33351,15,45804,10296,82250,0,0,0,0,3,43,1473,171,38,1,0,4,5,0,0,0,0,2
0,0,0,22,8,1,5,1,1,1,2,33342,17,241732,2288,99187,0,0,0,0,3,122,2745,27512,39,1,4,2,3,0,0,0,0,1
0,0,48342,34,7,2,4,2,1,1,4,33327,6,241633,34362,10859,0,0,5896,0,1,134,26360,1167,4410,0,0,1,1,0,0,0,0,0
0,0,65734,16,11,1,6,3,3,1,0,33145,1,25617,39940,7482,12,0,16441,6,3,20,208,16447,20,2,1,1,1,4,0,0,4,1
0,0,164331,0,0,0,0,0,0,0,0,33066,2,10112,11073,0,23,0,0,0,1,48,7581,2363,54,1,2,2,3,3,0,0,0,0
0,0,20363,8,1,1,1,1,1,1,2,32964,6,231005,2166,0,221,0,0,0,1,67,404,40334,3980,1,2,3,0,1,0,0,0,0
0,0,100667,1,3,2,1,0,3,1,0,32935,1,93477,293,44211,12,25629,15690,202,1,9,5692,2921,45,0,0,1,0,4,0,0,3,1
0,0,0,6,1,1,1,1,1,1,3,32904,4,33690,191,64,21,7282,81,512,3,81,7972,3923,917,0,0,1,3,3,0,0,1,1
0,0,0,82,12,2,3,3,2,1,0,32814,0,23970,752,0,0,0,0,0,3,175,0,1306,94,0,0,1,0,0,0,0,0,1
0,0,88203,1,6,1,4,1,1,1,0,32602,16,236538,21079,26843,963,0,0,33085,3,122,4858,855,101,2,0,1,2,2,0,0,0,0
0,0,43816,1,4,1,3,0,1,1,0,32599,0,21024,706,11682,117,0,0,0,3,606,18812,16140,322,1,1,1,3,0,0,0,0,0
0,0,180809,1,6,1,4,0,1,1,2,32582,1,185543,969,0,12,0,0,0,1,3242,106140,391,1007,3,0,6,4,5,0,0,0,0
0,0,0,1,3,2,1,0,2,1,0,32523,13,237394,32620,47243,0,0,0,0,3,91,6293,105,1113,1,2,2,1,0,0,0,0,2
0,0,189587,1,6,1,4,0,1,1,1,32502,3,20743,3025,11526,0,68755,36561,0,1,100,67753,3918,9419,0,1,1,3,0,0,0,0,0
0,0,104491,44,5,1,2,1,1,1,2,32476,10,81233,32419,16941,75,117819,32100,0,3,70,0,415,2622,2,2,1,7,4,1,1,0,1
0,0,159174,26,2,2,2,3,1,1,3,32397,3,236736,527,0,64,0,0,981,3,4,136,2659,176,2,1,1,3,3,0,0,0,2
0,0,49893,1,6,1,4,0,1,1,2,32373,29,236610,60602,0,0,0,0,0,1,49,10057,6988,39,0,3,1,2,0,0,0,0,2
0,0,121646,0,0,0,0,0,0,0,0,32314,3,16064,5858,9119,0,0,0,0,3,74,27001,115,351,3,0,1,3,0,0,0,0,0
0,0,201052,8,1,1,1,1,1,1,2,32302,2,79516,2908,0,23,57343,0,24026,3,7,4032,6,1379,1,3,1,2,2,2,0,1,2
0,0,6798,31,9,2,5,1,1,1,3,32274,18,236142,2095,0,0,0,0,0,1,139,2379,454,1590,0,0,1,1,0,0,0,0,1
0,0,78160,18,8,1,5,3,1,2,2,32263,1,43509,969,0,12,0,0,0,3,37,3262,21351,3048,3,3,1,0,2,0,0,0,0
0,0,87663,1,6,1,4,0,1,1,2,32243,1,235900,317,47349,12,0,17198,60,1,105,8188,1647,12,2,0,1,2,3,0,0,2,1
0,0,123590,17,11,1,6,3,1,1,2,32208,0,1076,706,0,117,204,0,331,3,1564,1473,29298,44,1,0,1,1,6,6,0,4,0
0,0,39492,1,6,1,4,0,1,1,4,32205,2,14767,9599,53,23,0,17,1752,3,94,38429,84,243,6,0,1,7,2,0,3,2,1
0,0,195749,1,6,1,4,0,2,1,0,32178,2,20882,5529,0,23,0,0,0,3,359,13657,803,298,2,3,1,1,2,0,0,0,2
0,0,209393,1,7,2,4,3,3,1,0,32140,2,4077,9599,0,23,1339,0,923,3,62,1331,23,264,0,0,1,5,3,2,0,4,2
0,0,168859,22,8,1,5,1,1,1,2,32080,5,14769,32218,451,25,27135,115,0,3,421,4225,2472,237,1,0,2,5,3,3,2,0,2
0,0,208440,70,3,2,1,2,1,1,2,32011,2,38548,97,565,23,0,169,185,1,846,2954,821,44,2,0,1,4,3,0,3,2,0
0,0,0,1,6,1,4,1,1,1,0,32009,7,92125,21390,588,0,0,4932,0,3,86,0,1966,94,1,2,1,2,0,0,3,0,2
0,0,0,68,3,2,1,1,2,1,3,31963,29,149975,26676,95994,1657,0,0,0,3,133,2681,15763,577,0,1,1,3,1,0,0,0,1
0,0,184204,44,5,1,2,1,1,1,2,31950,0,53349,681,0,117,61533,0,157,1,2,6984,218,351,2,0,1,2,4,0,0,2,0
0,0,132891,45,6,1,4,3,1,1,2,31906,1,71181,1972,22331,12,0,7771,0,3,89,4332,339,5350,1,1,1,0,4,0,5,0,1
0,0,74296,1,1,1,1,0,1,1,4,31826,0,2397,706,1489,117,1895,1506,142,3,274,5439,14019,1,0,0,1,4,4,3,3,3,0
0,0,119053,1,1,1,1,0,1,1,2,31821,1,148363,7555,65724,12,48216,26968,6,3,7,2633,7712,362,4,2,1,1,4,1,1,1,0
0,0,126540,15,8,1,5,3,1,1,4,31810,5,5080,39160,0,0,0,0,0,1,0,0,0,298,0,0,0,0,0,0,0,0,1
0,0,42402,1,8,1,5,0,1,1,0,31726,0,15917,706,0,117,3079,0,142,3,1284,0,26317,19107,0,0,1,0,4,0,0,3,2
0,0,173817,1,3,2,1,0,1,1,3,31672,0,232812,1653,0,0,0,0,0,3,1297,2714,991,564,0,1,1,2,0,0,0,0,0
0,0,98806,1,11,1,6,0,1,1,2,31660,0,25746,1588,0,117,0,0,11663,1,43,43437,495,31,1,0,1,1,3,0,0,0,0
0,0,167164,1,6,1,4,0,1,2,0,31614,9,232525,0,33148,139,0,11005,14620,3,21,162,2650,38,0,0,5,3,3,3,3,4,1
0,0,30617,15,8,1,5,3,1,1,3,31587,2,211328,97,28915,23,0,0,923,3,421,4433,2480,11961,0,1,1,4,5,0,0,4,2
0,0,98257,18,8,1,5,1,1,2,1,31575,0,34986,2735,0,117,15556,0,145,1,532,1224,1965,302,0,1,2,2,2,2,0,0,0
0,0,130201,0,0,0,0,0,0,0,0,31461,3,12484,14422,7132,64,0,0,0,3,674,99821,19315,18564,0,0,1,0,2,0,0,0,1
0,0,40597,1,8,1,5,0,1,2,2,31380,0,32196,3330,0,117,0,0,0,1,64,6027,15007,25992,0,0,1,1,1,0,0,0,0
0,0,0,11,6,1,4,1,1,1,2,31365,20,75704,3840,36818,1928,75261,39496,6441,1,504,25669,6876,52,1,0,2,4,1,1,1,2,1
0,0,38848,1,1,1,1,0,1,1,1,31289,4,11191,206,0,21,0,0,0,1,7,31,779,104,0,3,2,1,0,0,0,0,0
0,0,199465,1,2,2,2,0,1,1,0,31253,0,72915,655,0,117,0,0,331,3,7,298,82,6832,0,1,1,1,5,0,0,4,2
0,0,86877,0,0,0,0,0,0,0,0,31223,1,114537,4484,52724,12,0,0,0,1,93,5542,449,29,1,3,3,1,0,0,0,0,0
0,0,137438,6,1,1,1,1,1,1,4,31102,0,134740,1530,0,117,0,0,0,1,169,2023,82,2103,2,1,1,2,1,0,0,0,0
0,0,140580,0,0,0,0,0,0,0,0,31058,1,229337,292,167,12,0,43,52,3,60,886,1547,942,3,0,1,1,5,0,2,4,0
