click,purchase,userid,121,122,124,125,126,127,128,129,itemid,domain,207,210,216,508,509,702,853,301,109_14,110_14,127_14,150_14,D109_14,D110_14,D127_14,D150_14,D508,D509,D702,D853,train_tag,is_augmented
0,0,133047,30,5,1,2,3,1,1,3,35294,0,160217,10185,33912,117,105442,40017,3232,3,675,4593,3211,38,1,0,2,6,5,2,2,3,0,FALSE
0,0,48375,12,7,2,4,3,1,2,3,35287,0,120216,18270,54932,117,0,0,3232,1,327,809,693,39,0,2,1,1,5,0,0,3,1,FALSE
0,0,16722,14,2,2,2,1,1,1,2,35188,0,2697,1177,1680,117,12102,8085,0,1,21,56683,82,1407,0,0,1,2,2,0,0,0,2,FALSE
0,0,0,6,1,1,1,1,1,1,4,34499,0,174436,706,0,117,0,0,142,3,23,24146,3,44,2,0,1,3,5,2,0,2,2,FALSE
0,0,27260,1,5,1,2,0,2,1,4,34374,0,247558,655,0,117,100276,0,145,3,23,162,992,44,1,0,1,5,6,0,0,5,1,FALSE
0,0,0,0,0,0,0,0,0,0,0,34021,0,1873,16374,1184,117,389,335,0,3,93,12384,1074,44,4,0,1,0,4,1,1,0,1,FALSE
0,0,10990,1,6,1,4,0,1,1,0,33974,0,36740,5628,19301,117,9680,6599,0,1,60,944,4144,298,1,1,2,5,3,5,5,0,0,FALSE
0,0,89496,1,5,1,2,0,1,1,4,33922,0,1132,1311,700,117,395,338,148,1,102,438,7855,2298,0,0,1,4,5,3,3,2,0,FALSE
0,0,200182,21,3,2,1,1,1,1,3,33356,0,26450,715,14400,117,0,0,142,3,76,1265,1019,33,3,0,1,4,4,0,0,3,0,FALSE
0,0,98616,0,0,0,0,0,0,0,0,32965,0,25760,1588,14046,117,7498,5267,795,2,164,75093,538,0,0,1,1,1,4,2,2,2,2,FALSE
0,0,145535,1,6,1,4,0,1,1,3,32853,0,42790,1588,17544,117,59771,5022,0,1,38,56661,1831,54,0,0,1,5,4,1,1,0,0,FALSE
0,0,161568,0,0,0,0,0,0,0,0,32814,0,23970,708,0,117,24506,0,616,1,76,2144,34134,101,0,0,1,2,2,1,0,2,0,FALSE
0,0,0,1,6,1,4,0,1,1,4,32814,0,23970,708,0,0,0,0,0,1,21,626,294,44,3,3,2,0,0,0,0,0,1,FALSE
0,0,42876,0,0,0,0,0,0,0,0,32546,0,3697,706,0,0,0,0,0,3,38,22635,1939,3041,1,1,1,2,0,0,0,0,0,FALSE
1,0,82771,0,0,0,0,0,0,0,0,32450,0,31367,20170,0,117,6665,0,0,3,425,38235,294,38,3,1,1,1,5,0,0,0,0,FALSE
0,0,22964,17,11,1,6,3,1,1,2,32309,0,44232,682,22893,117,0,0,142,3,1167,91010,10406,2483,0,3,1,2,4,0,0,1,0,FALSE
0,0,29831,1,1,1,1,0,1,1,0,32235,0,235868,1653,0,117,0,0,331,3,1157,0,18516,0,0,3,1,2,2,0,0,0,1,FALSE
1,0,138858,23,6,1,4,1,1,1,3,32171,0,3118,1513,0,117,0,0,411,1,38,1722,1516,38,0,1,1,4,6,0,0,4,0,FALSE
0,0,155334,23,6,1,4,1,1,1,4,32037,0,11784,1923,0,117,2191,0,0,1,488,1806,303,576,0,0,1,1,3,0,0,0,0,FALSE
0,0,0,1,6,1,4,0,1,1,0,31826,0,2397,660,1489,117,1895,1506,932,3,211,25660,1843,21,0,0,1,3,3,1,1,1,1,FALSE
0,0,55609,1,12,2,3,0,1,1,4,31784,0,62475,655,0,117,0,0,351,3,46,2331,594,38,4,0,1,3,4,0,0,3,1,FALSE
0,0,35627,1,5,1,2,0,1,1,1,31022,0,49522,681,853,117,0,0,0,1,60,5300,9366,483,4,1,1,0,0,0,0,0,2,FALSE
0,0,0,1,1,1,1,0,1,1,2,30982,0,128387,1530,435,117,0,0,331,1,76,6954,312,38,0,0,1,2,4,0,0,2,2,FALSE
0,0,5301,24,2,2,2,3,1,1,2,30794,0,64743,706,0,117,31717,0,413,3,93,4916,3702,38,0,2,2,3,3,3,0,3,0,FALSE
0,0,161010,1,6,1,4,0,1,1,0,30642,0,87952,655,41928,117,0,0,331,3,198,13117,42,38,0,0,1,2,2,0,0,1,2,FALSE
0,0,146706,23,6,1,4,1,1,1,4,30289,0,79271,706,0,117,0,0,0,1,26,7998,1353,1,0,1,1,2,5,0,0,0,0,FALSE
0,0,139436,8,1,1,1,1,1,1,2,30196,0,33239,1507,0,117,8460,0,0,3,38,2177,6,346,2,0,1,2,3,2,0,0,1,FALSE
0,0,140723,10,6,1,4,1,1,1,1,30179,0,15180,1530,451,117,0,115,0,1,248,9820,4428,228,0,2,1,2,1,0,3,0,1,FALSE
0,0,47786,44,5,1,2,1,1,1,2,29925,0,1873,23999,1184,117,0,0,145,1,135,0,16618,248,4,1,1,4,2,0,0,1,1,FALSE
0,0,116343,1,1,1,1,0,1,1,3,29895,0,14991,655,8548,117,0,0,331,3,38,4619,150,38,0,1,1,1,3,0,0,1,2,FALSE
0,0,161614,18,8,1,5,3,1,2,4,28978,0,100702,18730,0,117,0,0,0,3,20,246,82,44,0,1,1,2,6,0,0,0,1,FALSE
0,0,69492,1,8,1,5,0,3,1,0,28897,0,216457,1588,0,117,0,0,438,3,93,2637,7651,625,2,0,1,2,3,0,0,2,0,FALSE
0,0,35144,1,7,2,4,0,1,1,2,28862,0,216302,689,56403,117,0,21818,142,1,280,580,2269,43,2,0,1,1,6,0,3,5,1,FALSE
1,0,43222,8,1,1,1,1,1,1,2,28644,0,96231,1313,0,117,0,0,351,3,1581,17658,1850,29,2,1,1,1,4,0,0,3,1,FALSE
0,0,15727,1,3,2,1,0,3,1,0,28586,0,56577,1313,0,0,0,0,0,3,113,11422,1381,506,0,0,1,4,0,0,0,0,2,FALSE
0,0,86873,1,2,2,2,0,1,1,3,28499,0,214627,1530,0,117,80817,0,572,3,999,120,800,577,0,0,1,3,5,2,0,3,2,FALSE
0,0,16614,46,1,1,1,3,1,1,1,28451,0,3256,1588,1000,117,0,0,0,3,246,59,542,38,2,0,1,3,4,0,0,0,2,FALSE
0,0,146611,8,1,1,1,1,1,1,2,28327,0,213873,1530,0,117,103520,0,331,3,7,457,291,38,1,0,1,2,3,1,0,2,0,FALSE
0,0,28110,23,6,1,4,1,1,1,3,28231,0,4255,1087,2573,117,35179,20638,11184,3,992,4215,1543,693,0,0,1,5,5,2,2,2,2,FALSE
0,0,47763,1,5,1,2,0,1,1,3,28151,0,12252,7133,7011,117,0,0,351,3,2,51400,29,21,0,0,1,2,2,0,0,2,1,FALSE
0,0,0,1,8,1,5,0,1,1,4,28142,0,38999,706,0,117,0,0,142,1,1,9153,173,94,3,3,3,3,5,0,0,0,1,FALSE
0,0,182770,1,5,1,2,0,1,1,2,27938,0,2696,1313,0,117,10068,0,0,1,85,1742,867,424,0,2,1,2,4,1,0,0,1,FALSE
0,0,0,70,3,2,1,1,1,1,2,27837,0,210898,682,88790,117,0,0,417,3,127,12564,976,1,0,1,1,1,4,0,0,3,2,FALSE
0,0,84830,11,6,1,4,1,1,1,2,27703,0,728,1313,453,117,0,0,0,2,105,626,17,346,0,2,1,2,5,0,0,0,2,FALSE
0,0,8787,1,6,1,4,0,1,1,2,26944,0,10832,1530,0,117,4585,0,417,1,1410,35012,1167,54,2,1,2,3,4,5,0,3,0,FALSE
0,0,48263,1,1,1,1,0,1,1,3,26932,0,114536,716,53,117,0,17,146,3,38,4486,1030,38,1,0,1,4,4,0,3,3,1,FALSE
0,0,162094,17,11,1,6,1,1,1,4,26700,0,9167,706,0,0,3155,0,0,1,531,3816,27,2980,3,2,1,1,0,5,0,0,0,FALSE
0,0,0,1,6,1,4,0,1,2,3,26643,0,61397,1313,85782,117,0,0,413,3,122,17454,39253,31,0,0,2,1,3,0,0,1,2,FALSE
0,0,147984,23,6,1,4,1,1,1,3,26367,0,1163,706,726,117,7782,5421,157,3,4,350,6,94,1,0,1,4,4,3,3,1,0,FALSE
0,0,54966,56,1,1,1,2,1,1,1,26209,0,46611,1589,84869,117,10681,0,0,1,658,480,526,1,0,0,1,4,4,4,4,0,1,FALSE
0,0,78528,0,0,0,0,0,0,0,0,26194,0,7122,716,51,117,78982,16,146,3,405,801,7633,36,1,0,1,1,4,1,3,3,0,FALSE
0,0,0,1,5,1,2,0,2,1,0,26173,0,28123,1530,0,117,0,0,331,1,312,47024,4650,38,0,1,1,1,3,0,0,1,1,FALSE
0,0,21792,0,0,0,0,0,0,0,0,26075,0,11714,706,14726,117,2166,5890,157,3,93,3995,1851,38,1,1,1,3,4,0,0,2,2,FALSE
0,0,69889,1,9,2,5,0,2,1,0,26023,0,198958,5929,0,117,0,0,351,3,938,8380,101,38,1,0,1,2,4,0,0,3,2,FALSE
0,0,0,16,11,1,6,3,2,1,0,24965,0,19878,1530,0,117,0,0,0,3,20,438,6222,374,3,0,1,4,3,0,0,0,1,FALSE
0,0,113533,18,8,1,5,1,1,2,2,24951,0,12789,681,0,117,2395,0,417,1,1155,0,1031,921,0,4,1,0,4,3,0,3,2,FALSE
0,0,56890,1,6,1,4,0,1,1,4,24804,0,94395,681,53,117,0,17,162,1,193,3454,5861,43,1,1,1,1,3,0,0,1,0,FALSE
0,0,198423,17,11,1,6,3,1,1,0,24580,0,14937,655,0,117,2878,0,0,1,2315,597,82,24,1,3,1,2,3,3,0,0,0,FALSE
0,0,162423,12,7,2,4,3,1,1,4,24545,0,189453,1311,0,117,0,0,148,3,44,3882,1230,25,1,2,1,0,3,0,0,1,0,FALSE
0,0,0,51,7,2,4,3,1,1,2,24539,0,6026,1087,3570,117,2350,1851,438,1,221,1921,261,38,2,0,1,4,3,3,3,1,2,FALSE
0,0,188511,1,6,1,4,3,1,1,0,24463,0,157719,5959,1378,117,0,449,0,1,246,7099,16251,54,2,0,1,3,4,0,0,0,0,FALSE
0,0,124407,1,5,1,2,0,3,1,0,24463,0,157719,706,1378,0,0,0,0,3,16,50842,28,16740,1,0,1,0,0,0,0,0,0,FALSE
0,0,0,1,5,1,2,0,1,1,3,24463,0,157719,5959,1378,117,0,0,351,3,371,0,47584,1858,0,0,1,2,4,0,0,3,2,FALSE
0,0,116465,7,7,2,4,1,1,1,2,24447,0,11184,3330,0,117,0,0,417,1,1190,31,3161,117,0,3,1,5,5,0,0,3,0,FALSE
0,0,57574,3,1,1,1,1,1,1,1,24416,0,19065,26869,2536,117,4539,643,4315,1,60,29808,684,54,2,0,3,1,5,4,4,1,0,FALSE
0,0,157758,0,0,0,0,0,0,0,0,24258,0,31452,716,16368,117,0,0,331,3,546,904,24957,23102,0,0,1,3,5,0,0,2,1,FALSE
0,0,141604,1,1,1,1,0,3,1,0,24245,0,162639,1530,71102,117,0,0,351,3,93,3598,27,298,1,0,2,1,3,0,0,1,2,FALSE
0,0,186688,0,0,0,0,0,0,0,0,24208,0,134686,1894,0,117,0,0,0,3,59,31,283,488,1,0,1,0,0,0,0,0,0,FALSE
0,0,0,1,7,2,4,0,1,1,4,24057,0,12609,1587,7202,0,0,0,0,3,208,22303,0,1247,1,1,1,1,0,0,0,0,1,FALSE
0,0,0,15,8,1,5,3,1,1,4,24048,0,46007,25678,0,117,10522,0,148,3,9,904,714,38,0,1,1,5,6,4,0,5,1,FALSE
0,0,194821,54,6,1,4,2,1,1,1,23753,0,135474,1530,0,117,0,0,162,1,405,29032,54232,39,0,0,1,1,3,0,0,1,0,FALSE
0,0,121536,1,7,2,4,0,1,1,0,23746,0,134629,5817,0,0,0,0,0,3,3974,82882,3475,719,0,0,1,2,0,0,0,0,0,FALSE
0,0,146630,1,8,1,5,0,2,1,0,23559,0,121322,2604,55361,0,0,0,0,3,666,181,75,549,3,0,1,1,0,0,0,0,0,FALSE
0,0,154757,1,6,1,4,0,1,1,1,23524,0,8022,706,0,117,0,0,142,3,60,341,40,841,0,0,1,1,5,0,0,3,2,FALSE
0,0,7825,18,8,1,5,1,1,2,3,23401,0,81088,681,53994,117,0,0,3232,3,688,727,5,1,1,6,1,3,1,0,0,0,0,FALSE
0,0,35682,1,3,2,1,0,1,1,2,23293,0,117762,1087,53998,117,0,0,142,1,193,1629,594,21,0,0,1,0,2,0,0,0,0,FALSE
0,0,80929,1,1,1,1,2,1,1,0,23169,0,3613,715,0,117,0,0,0,1,9,20794,932,1,1,0,1,3,1,0,0,0,2,FALSE
0,0,131969,1,6,1,4,0,1,1,2,23140,0,86033,3330,52910,117,0,0,417,3,45,633,3973,1,0,2,1,4,5,0,0,3,2,FALSE
0,0,165323,7,7,2,4,1,1,1,2,23124,0,7141,1311,0,117,1249,0,932,1,726,17277,406,430,4,0,1,2,4,2,0,3,0,FALSE
0,0,158302,1,8,1,5,0,1,1,0,23028,0,1350,706,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,1,FALSE
0,0,92294,79,4,1,3,2,3,1,0,22997,0,9532,708,0,117,0,0,0,3,565,42379,7421,96,0,0,1,5,0,0,0,0,0,FALSE
0,0,0,1,5,1,2,0,1,1,3,22997,0,9532,1479,0,117,0,0,5933,3,23,2470,528,1937,2,1,1,4,3,0,0,0,1,FALSE
0,0,184450,0,0,0,0,0,0,0,0,22912,0,63816,0,0,117,61122,0,157,1,60,1,7231,31,1,0,1,4,5,2,0,2,1,FALSE
0,0,81926,0,0,0,0,0,0,0,0,22243,0,19918,38573,11111,117,0,0,932,1,224,24341,3547,8108,0,1,1,0,4,0,0,4,1,FALSE
0,0,73682,1,5,1,2,0,1,1,3,21662,0,8349,10185,5524,0,0,0,0,3,231,30386,3387,1101,1,0,1,3,0,0,0,0,0,FALSE
0,0,88744,1,9,2,5,0,1,1,4,21477,0,5498,716,0,117,989,0,0,1,7,94183,340,14868,1,1,1,1,1,1,0,0,0,FALSE
0,0,130556,1,6,1,4,0,2,1,0,21268,0,15686,706,8917,117,0,0,162,3,38,5388,2526,38,3,1,1,4,6,0,0,3,0,FALSE
0,0,0,51,7,2,4,3,1,1,2,21244,0,169274,682,51,0,0,0,0,1,43,1109,1934,537,0,0,1,4,0,0,0,0,1,FALSE
0,0,28534,1,5,1,2,0,2,1,3,21210,0,2262,1588,1414,117,0,0,932,3,189,234,12006,1,0,2,1,0,5,0,0,0,0,FALSE
0,0,0,1,8,1,5,0,1,2,2,21167,0,100351,1313,0,117,0,0,417,3,1754,0,31636,5751,0,0,3,5,3,0,0,2,1,FALSE
1,0,126972,1,8,1,5,0,2,1,0,21098,0,168349,1588,51,117,0,16,331,3,157,2583,6551,230,2,0,2,2,5,0,1,5,0,FALSE
0,0,151150,1,1,1,1,0,1,1,0,21096,0,115093,655,0,117,0,0,0,1,688,4186,14293,4784,0,0,2,1,0,0,0,0,0,FALSE
1,0,0,1,5,1,2,0,2,1,0,21039,0,153876,1311,67793,117,0,0,148,1,78,4335,0,1450,3,0,1,2,3,0,0,2,1,FALSE
0,0,76441,1,6,1,4,1,3,1,0,20854,0,160313,682,0,117,0,0,619,3,1477,25530,5500,1126,0,0,1,0,1,0,0,0,0,FALSE
0,0,10742,18,8,1,5,3,1,2,3,20562,0,5080,1087,0,117,1974,0,146,3,109,35895,16609,22431,3,3,2,1,4,5,0,3,0,FALSE
0,0,41204,1,8,1,5,0,1,1,0,20445,0,25411,715,0,117,7481,0,0,3,37,31,553,44,3,0,1,0,4,1,0,0,2,FALSE
0,0,185428,22,8,1,5,3,1,1,2,20427,0,94617,1588,0,117,0,0,168,1,54,0,644,134,0,0,1,0,3,0,0,2,2,FALSE
0,0,130618,1,5,1,2,0,2,1,0,20380,0,6024,706,3568,117,7942,5519,438,3,98,52573,3337,38,0,2,1,4,5,3,3,2,0,FALSE
0,0,137495,11,6,1,4,1,1,2,2,20356,0,118628,65984,33390,117,0,0,0,1,37,2114,330,496,0,0,1,1,2,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,0,20331,0,164148,49892,0,117,0,0,439,1,76,41011,6795,4595,0,0,1,1,1,0,0,0,1,FALSE
1,0,0,1,8,1,5,0,1,1,2,20216,0,48391,655,53,117,20874,17,331,1,9,31,1675,651,0,7,2,0,4,3,3,3,1,FALSE
0,0,31726,0,0,0,0,0,0,0,0,20214,0,163306,710,0,117,73802,0,351,3,53,19445,173,38,0,0,1,5,6,1,0,4,2,FALSE
1,0,0,1,6,1,4,0,1,1,3,20175,0,26687,1513,0,117,0,0,411,1,166,946,303,38,0,0,3,1,4,0,0,2,2,FALSE
0,0,37997,1,1,1,1,0,1,1,1,20042,0,90845,1589,0,117,0,0,0,1,98,7995,770,908,1,3,2,3,1,0,0,0,2,FALSE
0,0,168769,0,0,0,0,0,0,0,0,19928,0,2688,1587,0,117,0,0,619,3,1138,7699,21227,23025,2,1,2,2,3,0,0,0,2,FALSE
0,0,136080,1,3,2,1,0,1,1,2,19746,0,134642,1087,0,117,0,0,351,3,20,7797,828,38,1,0,1,6,7,0,0,4,0,FALSE
0,0,0,1,6,1,4,0,1,1,0,19712,0,25636,1087,13992,117,5571,5351,0,1,38,908,2214,1799,2,0,1,1,3,1,1,0,1,FALSE
0,0,126380,1,2,2,2,3,2,1,0,19617,0,117616,1588,0,117,41212,0,438,3,246,9153,173,44,0,1,1,4,3,0,0,2,0,FALSE
0,0,92839,6,1,1,1,2,1,1,3,19557,0,159319,649,0,117,53342,0,0,1,280,1460,1280,296,2,0,1,3,0,0,0,0,0,FALSE
0,0,0,22,8,1,5,1,1,1,2,19555,0,48078,716,53,117,30971,17,411,3,21,31,1675,31,0,3,1,3,4,1,2,1,2,FALSE
0,0,54342,0,0,0,0,0,0,0,0,19389,0,158411,655,0,117,0,0,0,3,7,28,173,405,2,0,1,1,2,0,0,0,0,FALSE
0,0,48762,0,0,0,0,0,0,0,0,19389,0,158411,655,0,117,60760,0,351,3,67,3766,218,44,2,1,1,1,4,0,0,2,1,FALSE
0,0,14223,1,5,1,2,0,2,1,0,19387,0,26099,1530,14232,117,0,0,331,3,122,6046,5993,217,2,2,1,3,4,0,0,3,0,FALSE
0,0,123342,0,0,0,0,0,0,0,0,19341,0,158150,655,561,117,0,0,331,3,312,50558,4065,1899,0,1,1,0,2,0,0,1,2,FALSE
0,0,129038,1,5,1,2,0,3,1,0,19298,0,2640,1313,1649,117,0,0,0,3,4,2308,1121,36,2,0,1,1,1,0,0,0,1,FALSE
0,0,138809,1,2,2,2,0,1,1,2,19265,0,25746,655,0,117,5665,0,331,3,2,1010,14600,1,6,0,2,3,4,1,0,3,0,FALSE
0,0,78289,28,6,1,4,3,1,1,3,18979,0,30016,1894,13501,117,9370,0,5043,3,376,4430,1817,38,0,2,1,2,4,1,0,1,0,FALSE
0,0,0,17,11,1,6,3,1,1,1,18938,0,10210,1311,53,117,5912,17,146,3,43,102914,9,38,0,1,1,6,6,3,5,5,2,FALSE
0,0,0,0,0,0,0,0,0,0,0,18914,0,155293,2604,51,117,0,16,331,3,99,772,2452,48,0,0,1,2,2,0,0,0,2,FALSE
0,0,99380,30,5,1,2,3,1,1,4,18856,0,5069,1513,3042,117,0,0,0,3,248,234,635,1,0,0,1,3,2,0,0,0,0,FALSE
0,0,104424,1,10,2,6,0,1,1,4,18751,0,125105,1589,56820,117,0,0,795,3,4291,81509,26591,21553,1,1,1,1,1,0,0,1,0,FALSE
0,0,81574,11,6,1,4,1,1,1,2,18400,0,79085,1087,0,117,50704,0,3232,1,489,162,356,44,0,1,1,1,3,2,0,2,0,FALSE
0,0,96435,1,3,2,1,0,1,1,4,18347,0,89540,1530,0,117,0,0,142,3,60,2610,391,242,5,5,1,6,5,0,0,3,0,FALSE
0,0,69875,1,2,2,2,3,1,1,0,18277,0,1076,1313,0,117,204,0,145,3,666,0,34856,2869,0,0,1,3,3,2,0,1,2,FALSE
0,0,185108,1,11,1,6,0,1,1,0,18221,0,5374,716,11532,117,5450,3963,146,3,49,3542,1436,1,4,0,1,5,4,3,0,2,2,FALSE
0,0,192322,1,6,1,4,0,1,1,4,18011,0,149643,706,51,117,48831,16,146,3,296,162,173,15241,0,2,1,3,3,0,2,2,0,FALSE
0,0,210077,6,1,1,1,1,1,1,4,17980,0,79516,1530,0,117,0,0,145,3,45,99905,21706,44,2,3,3,1,5,0,0,4,0,FALSE
0,0,115672,1,1,1,1,0,1,1,2,17889,0,35542,682,0,117,0,0,157,3,60,580,5280,716,6,0,1,0,5,0,0,3,1,FALSE
0,0,0,47,5,1,2,1,1,1,3,17883,0,148873,5681,65912,117,0,0,0,3,1883,162,2472,960,0,0,1,1,1,0,0,0,2,FALSE
0,0,0,1,5,1,2,0,2,1,0,17455,0,2207,681,0,117,0,0,0,3,6,6094,5715,206,6,0,1,2,1,0,0,0,2,FALSE
0,0,16919,44,5,1,2,1,1,1,2,17393,0,35999,2604,53,0,0,0,0,3,53,64137,6706,1264,0,1,1,1,0,0,0,0,2,FALSE
0,0,161970,1,8,1,5,0,1,1,1,17143,0,20019,1894,11156,117,0,0,0,1,38,185,34184,1933,6,0,1,1,2,0,0,0,0,FALSE
1,0,45834,28,6,1,4,3,1,2,3,16791,0,50442,49627,0,117,0,0,331,3,277,1833,11747,38,3,2,1,1,3,0,0,1,1,FALSE
0,0,18728,1,5,1,2,0,2,1,0,16791,0,50442,5070,0,117,0,0,5236,3,60,162,303,1121,1,0,1,2,2,0,0,1,0,FALSE
0,0,0,8,1,1,1,1,1,1,2,16791,0,50442,655,0,117,0,0,7854,3,37,53396,1222,1523,1,3,2,1,5,0,0,0,2,FALSE
0,0,110491,1,8,1,5,0,2,1,0,16708,0,141537,689,0,0,0,0,0,3,890,73144,1785,219,0,0,1,1,0,0,0,0,0,FALSE
1,0,0,1,1,1,1,1,1,1,0,16657,0,8454,18725,4969,117,0,0,162,3,60,6440,151,38,1,0,1,5,5,0,0,3,2,FALSE
0,0,173608,15,8,1,5,3,1,1,4,16533,0,178,706,0,117,190,0,142,1,4,6583,11195,38,1,0,1,4,5,3,0,2,0,FALSE
0,0,118137,1,8,1,5,0,1,1,0,16531,0,27820,11699,0,117,18037,0,157,3,7,315,323,28,0,0,1,0,5,2,0,3,1,FALSE
0,0,125519,1,2,2,2,0,1,1,4,16424,0,19972,706,0,117,5273,0,331,3,66,162,3658,38,0,1,3,4,5,2,0,3,0,FALSE
0,0,0,1,11,1,6,0,1,1,1,16397,0,35983,56738,22913,117,0,0,0,1,16,1136,27,1045,2,4,1,0,1,0,0,0,2,FALSE
0,0,149231,1,8,1,5,0,1,2,2,16342,0,11184,655,0,117,0,0,0,1,55,296,2123,10,0,2,1,6,5,0,0,0,0,FALSE
0,0,57234,47,5,1,2,1,1,1,3,16276,0,40753,5681,0,117,0,0,157,1,67,21134,7954,83,0,0,1,1,6,0,0,3,2,FALSE
0,0,90612,1,12,2,3,0,1,1,0,16192,0,31786,655,414,117,0,0,145,1,60,83,2114,44,1,2,1,1,2,0,0,1,0,FALSE
0,0,158418,0,0,0,0,0,0,0,0,16170,0,12789,3994,0,117,0,0,142,1,49,26500,1818,31,0,0,1,4,5,0,0,3,0,FALSE
0,0,69839,17,11,1,6,3,1,1,3,16169,0,25016,682,61888,117,5271,32810,157,3,55,1415,283,1434,0,2,1,2,4,0,0,2,2,FALSE
0,0,111263,15,8,1,5,3,1,1,3,16116,0,137669,655,61711,117,0,0,0,3,84,47119,27,4916,4,0,2,2,1,0,0,0,1,FALSE
0,0,76232,44,5,1,2,1,1,1,2,16055,0,117621,704,53950,117,37236,21666,3232,3,75,162,48637,1,0,0,1,0,4,0,0,3,0,FALSE
0,0,175936,22,8,1,5,1,1,1,2,16040,0,137109,1530,53,117,0,17,331,3,24,2324,2327,1,0,0,1,3,4,0,3,0,1,FALSE
